locus_tag	IF(rnaseq_ratio < 1.0, -1.0/rnaseq_ratio, rnaseq_ratio)	rnaseq_pvalue	IF(proteomics_ratio < 1.0, -1.0/proteomics_ratio, proteomics_ratio)	proteomics_pvalue
Mmol_0179	1.8294099822514	0.469401469468401	NULL	0
Mmol_0180	1.00463225908009	0.995312641851855	NULL	0
Mmol_0181	1.60521470695213	0.359007966502375	NULL	0
Mmol_0182	-1.42939834603884	0.111852828433537	3.15265806799236	0.00833446
Mmol_0183	-1.87385524149537	0.229679603343699	1.45403761636387	0.248871
Mmol_0184	-1.06538145331693	0.811413371019161	-1.48572830766552	0.0544859
Mmol_0185	-1.40303823793247	0.423496548901753	-1.08947466933805	0.531051
Mmol_0186	-1.78397616182216	0.264372590717925	6.41543333871024	0.0152694
Mmol_0187	-4.36563908702056	0.212661350454708	NULL	0
Mmol_0188	-3.06433169646884	0.297606870140578	NULL	0
Mmol_0189	-1.95288688493601	0.395329240503468	NULL	0
Mmol_0190	1.99122180338719	0.274209109027525	-1.78742883265962	0.00297059
Mmol_0191	-10.8310049887819	0.444502623122988	-1.10508860698207	0.691537
Mmol_0192	-6.52359598162191	0.406319141322715	-2.12616806991621	0.0991025
Mmol_0193	-1.25092102088615	0.721547619843231	1.88097815378597	0.00712899
Mmol_0194	-1.01355417743749	0.98377728782189	NULL	0
Mmol_0195	1.32763749662735	0.371558561934277	4.54567698470656	0.000507839
Mmol_0196	3.1088814529842	0.158183412371322	1.19806581601786	0
Mmol_0197	-1.40581225134564	0.389244122236104	-1.7582409960842	0.0690221
Mmol_0198	-1.56125925980328	0.507962898554249	NULL	0
Mmol_0199	-2.42056734878967	0.167803000354509	NULL	0
Mmol_0200	-1.05012835477161	0.868995398188177	-2.80121355634814	0.00177062
Mmol_R0002	1.00036278008087	0.999197488404111	NULL	NULL
Mmol_R0003	-4.51771498303229	0.251614697033563	NULL	NULL
Mmol_R0004	2.57995343108097	0.581246833685334	NULL	NULL
Mmol_R0005	1	1	NULL	NULL
Mmol_R0006	1	1	NULL	NULL
Mmol_0201	1.12302989862888	0.651190383055915	NULL	0
Mmol_0202	1.40675026644133	0.681457374193272	NULL	0
Mmol_0203	1.09128495106354	0.833123450759888	NULL	0
Mmol_0204	-1.10014921362878	0.917320239252987	NULL	0
Mmol_0205	7.04940122776234	0.459673359032248	NULL	0
Mmol_0206	6.82995808715306	0.502894145822533	NULL	0
Mmol_0207	-1.71351056199178	0.580202340109941	NULL	0
Mmol_0208	21.8071394327714	0.438055831256022	NULL	0
Mmol_0209	-6.64816998863763	0.0648893023583479	-1.3851292414913	0.257798
Mmol_0210	-7.517749577723	0.0524629905658309	-1.6798190096468	0.00508249
Mmol_0211	-2.05003163450473	0.0340731398452491	1.1199541670375	0.351296
Mmol_0212	1.05899306347484	0.656355746072316	-1.36824281250989	0.0378336
